route_id,stop_id,stop_sequence
1150_3,000000300067,13
1150_3,000000300068,14
1150_3,000000300069,15
1150_3,000000300070,16
1150_3,000000300151,17
1150_3,000000300225,18
1150_3,000000300090,19
1150_3,000000300157,20
1150_3,000000300092,21
1150_3,000000300094,22
1150_3,000000300010,23
1150_3,000000300011,24
1150_3,000000300099,25
1151_3,000000280026,0
1151_3,000000280027,1
1151_3,000000280028,2
1151_3,000000280261,3
1151_3,000000270119,4
1151_3,000000270023,5
1151_3,000000270024,6
1151_3,000000270025,7
1151_3,000000270026,8
1151_3,000000270043,9
1151_3,000000270046,10
1151_3,000000270047,11
1151_3,000000280019,12
1151_3,000000280020,13
1151_3,000000280042,14
1151_3,000000280044,15
1151_3,000000280230,16
1152_3,000000340052,0
1152_3,000000350110,1
1152_3,000000350011,2
1152_3,000000350692,3
1152_3,000000350003,4
1152_3,000000350162,5
1152_3,000000350160,6
1152_3,000000350001,7
1152_3,000000350005,8
1152_3,000000350006,9
1152_3,000000350007,10
1152_3,000000350010,11
1152_3,000000350691,12
1152_3,000000350711,13
1152_3,000000350012,14
1152_3,000000350109,15
1152_3,000000340032,16
1153_3,000000920037,0
1153_3,000000920167,1
1153_3,000000920168,2
1153_3,000000920176,3
1153_3,000000920165,4
1153_3,000000920033,5
1153_3,000000920012,6
1153_3,000000920009,7
1153_3,000000920008,8
1153_3,000000920007,9
1153_3,000000920006,10
1153_3,000000920184,11
1153_3,000000360961,12
1153_3,000000360389,13
1153_3,000000360383,14
1153_3,000000360384,15
1153_3,000000360365,16
1153_3,000000360366,17
1153_3,000000360062,18
1153_3,000000360367,19
1153_3,000000360368,20
1153_3,000000360369,21
1153_3,000000360359,22
1154_3,000000370441,0
1154_3,000000370005,1
1154_3,000000370452,2
1154_3,000000370426,3
1154_3,000000370427,4
1154_3,000000370428,5
1154_3,000000370429,6
1154_3,000000370430,7
1154_3,000000370090,8
1154_3,000000370016,9
1154_3,000000370019,10
1154_3,000000370020,11
1154_3,000000370023,12
1154_3,000000370434,13
1154_3,000000370435,14
1154_3,000000370436,15
1154_3,000000370025,16
1154_3,000000370026,17
1154_3,000000370029,18
1154_3,000000370031,19
1154_3,000000370032,20
1154_3,000000370034,21
1154_3,000000370035,22
1154_3,000000370036,23
1154_3,000000360021,24
1154_3,000000360020,25
1154_3,000000360150,26
1154_3,000000360317,27
1155_3,000000910121,0
1155_3,000000910117,1
1155_3,000000910116,2
1155_3,000000910114,3
1155_3,000000910112,4
1155_3,000000910110,5
1155_3,000000860039,6
1155_3,000000860028,7
1155_3,000000860024,8
1155_3,000000860008,9
1155_3,000000868000,10
1155_3,000000869001,11
1155_3,000000980022,12
1155_3,000000980023,13
1155_3,000000980024,14
1155_3,000000980025,15
1155_3,000000980026,16
1155_3,000000980027,17
1155_3,000000980028,18
1155_3,000000980029,19
1155_3,000000988082,20
1155_3,000000980058,21
1155_3,000000980057,22
1155_3,000000980054,23
1155_3,000000980049,24
1155_3,000000980050,25
1155_3,000000990050,26
1155_3,000000990051,27
1155_3,000000990052,28
1155_3,000000990046,29
1155_3,000000990043,30
1156_3,000000370392,0
1156_3,000000370393,1
1156_3,000000370394,2
1156_3,000000370395,3
1156_3,000000370544,4
1156_3,000000370542,5
1156_3,000000370543,6
1156_3,000000370555,7
1156_3,000000370556,8
1156_3,000000370389,9
1156_3,000000370102,10
1156_3,000000370103,11
1156_3,000000370104,12
1156_3,000000370106,13
1156_3,000000370108,14
1156_3,000000370563,15
1156_3,000000370564,16
1156_3,000000370558,17
1156_3,000000370565,18
1157_3,000000200103,0
1157_3,000000200542,1
1157_3,000000200104,2
1157_3,000000200062,3
1157_3,000000200063,4
1157_3,000000200064,5
1157_3,000000200065,6
1157_3,000000200066,7
1157_3,000000200105,8
1157_3,000000200054,9
1157_3,000000200053,10
1157_3,000000200052,11
1157_3,000000200051,12
1157_3,000000200050,13
1157_3,000000200038,14
1157_3,000000200039,15
1157_3,000000200022,16
1157_3,000000200029,17
1158_3,000000250240,0
1158_3,000000230144,1
1158_3,000000230145,2
1158_3,000000230210,3
1158_3,000000210069,4
1158_3,000000210070,5
1158_3,000000210071,6
1158_3,000000210072,7
1158_3,000000210076,8
1158_3,000000210153,9
1158_3,000000210077,10
1158_3,000000210078,11
1158_3,000000210079,12
1158_3,000000210082,13
1158_3,000000210083,14
1158_3,000000210029,15
1158_3,000000210030,16
1158_3,000000210031,17
1159_3,000000250240,0
1159_3,000000230144,1
1159_3,000000230145,2
1159_3,000000230210,3
1159_3,000000230152,4
1159_3,000000230234,5
1159_3,000000230235,6
1159_3,000000230154,7
1159_3,000000230155,8
1159_3,000000230157,9
1159_3,000000230160,10
1159_3,000000230161,11
1159_3,000000230162,12
