route_id,stop_id,stop_sequence
1154_3,000000370045,8
1154_3,000000370047,9
1154_3,000000370023,10
1154_3,000000370434,11
1154_3,000000370435,12
1154_3,000000370436,13
1154_3,000000370025,14
1154_3,000000370050,15
1154_3,000000370051,16
1154_3,000000370058,17
1154_3,000000370061,18
1154_3,000000370437,19
1154_3,000000370438,20
1154_3,000000370453,21
1154_3,000000370439,22
1154_3,000000370440,23
1154_3,000000370069,24
1154_3,000000370072,25
1154_3,000000370442,26
1155_3,000000910117,0
1155_3,000000910116,1
1155_3,000000910114,2
1155_3,000000910112,3
1155_3,000000910110,4
1155_3,000000860039,5
1155_3,000000860028,6
1155_3,000000860024,7
1155_3,000000860008,8
1155_3,000000868000,9
1155_3,000000869001,10
1155_3,000000980022,11
1155_3,000000980023,12
1155_3,000000980024,13
1155_3,000000980025,14
1155_3,000000980026,15
1155_3,000000980027,16
1155_3,000000980028,17
1155_3,000000980029,18
1155_3,000000988082,19
1155_3,000000980058,20
1155_3,000000980057,21
1155_3,000000980054,22
1155_3,000000980049,23
1155_3,000000980050,24
1155_3,000000990050,25
1155_3,000000990051,26
1155_3,000000990052,27
1155_3,000000990046,28
1155_3,000000990043,29
1156_3,000000370113,0
1156_3,000000370114,1
1156_3,000000370116,2
1156_3,000000370371,3
1157_3,000000200029,0
1157_3,000000200030,1
1157_3,000000200036,2
1157_3,000000200079,3
1157_3,000000200037,4
1157_3,000000200077,5
1157_3,000000200078,6
1157_3,000000200060,7
1157_3,000000200103,8
1157_3,000000200542,9
1157_3,000000200104,10
1157_3,000000200062,11
1157_3,000000200063,12
1157_3,000000200064,13
1157_3,000000200065,14
1157_3,000000200066,15
1157_3,000000200105,16
1158_3,000000250240,0
1158_3,000000230144,1
1158_3,000000230145,2
1158_3,000000230210,3
1158_3,000000210069,4
1158_3,000000210070,5
1158_3,000000210071,6
1158_3,000000210072,7
1158_3,000000210076,8
1158_3,000000210153,9
1158_3,000000210077,10
1158_3,000000210078,11
1158_3,000000210079,12
1158_3,000000210082,13
1158_3,000000210083,14
1158_3,000000210029,15
1158_3,000000210031,16
1159_3,000000250240,0
1159_3,000000230144,1
1159_3,000000230145,2
1159_3,000000230210,3
1159_3,000000230152,4
1159_3,000000230234,5
1159_3,000000230235,6
1159_3,000000230154,7
1159_3,000000230155,8
1159_3,000000230157,9
1159_3,000000230160,10
1159_3,000000230161,11
1159_3,000000230162,12
1159_3,000000230164,13
1159_3,000000230167,14
1159_3,000000230169,15
1159_3,000000230170,16
1159_3,000000230172,17
1159_3,000000230173,18
1159_3,000000230174,19
1159_3,000000200009,20
1159_3,000000200092,21
1159_3,000000200068,22
1159_3,000000200069,23
1160_3,000000250240,0
1160_3,000000250661,1
1160_3,000000230003,2
1160_3,000000230004,3
1160_3,000000230287,4
1160_3,000000230240,5
1160_3,000000230005,6
1160_3,000000230006,7
1160_3,000000230010,8
1160_3,000000230011,9
1160_3,000000230012,10
1160_3,000000230013,11
1160_3,000000230015,12
1160_3,000000230016,13
1160_3,000000230017,14
1160_3,000000230100,15
1161_3,000000240196,0
1161_3,000000240198,1
1161_3,000000240199,2
1161_3,000000240214,3
1161_3,000000240215,4
1161_3,000000240216,5
1161_3,000000240217,6
1161_3,000000240253,7
1161_3,000000240168,8
1161_3,000000240170,9
1161_3,000000240171,10
1161_3,000000240074,11
1161_3,000000240032,12
1161_3,000000240033,13
1161_3,000000240034,14
1161_3,000000240035,15
1161_3,000000240257,16
1161_3,000000260031,17
1161_3,000000260032,18
1161_3,000000260034,19
1161_3,000000260035,20
1161_3,000000260036,21
1161_3,000000260090,22
1161_3,000000250662,23
1161_3,000000399211,24
1162_3,000000240090,0
1162_3,000000240091,1
1162_3,000000240092,2
1162_3,000000240093,3
1162_3,000000240175,4
1162_3,000000240249,5
1162_3,000000240178,6
1162_3,000000240179,7
1162_3,000000240255,8
